symbol,timestamp,return_1,return_3,return_5,sma_fast,sma_slow,sma_cross,volatility,volume_ratio,high_low_range,label
BTC/USDT,1770596100000,0.0010645802385752816,0.00453557051195611,0.00018833524239138597,70658.94399999999,70811.33533333334,0.0,0.00254020452750468,1.0715779280446678,0.004882778789777082,0
BTC/USDT,1770596520000,-0.0026101659810913633,-0.0012608078860275004,-0.000960910729678533,70576.659,70804.36200000001,0.0,0.002536385666143493,1.1193696159198225,0.00391854487603371,0
BTC/USDT,1770596940000,0.001642112286608232,9.120522464296873e-05,0.0035588205157575125,70492.63,70793.54766666665,0.0,0.0025539665559149776,0.9594806568386473,0.0034497637447829153,0
BTC/USDT,1770597360000,-0.005698673807214529,-0.0066654726395188,-0.005321600925688107,70505.10800000001,70784.796,0.0,0.0025545794164384262,1.0598345925849715,0.005627224538236544,1
BTC/USDT,1770597780000,0.002762696504586627,-0.00131445577956289,-0.0028607849965705985,70497.53799999999,70758.83799999999,0.0,0.0026550953033255068,1.1198236833069384,0.0035694812477957746,1
BTC/USDT,1770598200000,0.0009302921444000887,-0.002024174827302765,-0.0029945465215046306,70523.023,70737.55766666666,0.0,0.0026786649377506244,0.6203143837293607,0.0025034945764711384,1
BTC/USDT,1770598620000,0.00012543723888225924,0.0038214595634120173,-0.00025999756598025814,70503.187,70720.87333333332,0.0,0.00268054564548338,0.6039003991115751,0.0031924313512338384,0
BTC/USDT,1770599040000,-0.0008714240860084825,0.00018350190084958046,-0.002768760754402191,70494.57299999999,70707.40433333332,0.0,0.0026743999764320945,0.7337572955804437,0.003882227594048407,0
BTC/USDT,1770599460000,0.0006296425308902783,-0.00011692339913923999,0.0035782032674106672,70500.06300000001,70696.51733333334,0.0,0.002671786091293327,0.7261303237529506,0.002513721302343923,0
BTC/USDT,1770599880000,0.006085694721866476,0.005841889733213984,0.006903903946128791,70487.622,70685.132,0.0,0.0026709798270746856,1.4247914647813416,0.005856483362221532,0
BTC/USDT,1770600300000,-0.0015527389593038199,0.005155996990098488,0.004406053964405548,70516.03099999999,70693.243,0.0,0.002784566356509892,0.6325186382236309,0.0028318546564194886,0
BTC/USDT,1770600720000,-0.0041267800632911475,0.0003780586885024806,0.00013563683266426736,70525.915,70695.36033333333,0.0,0.002770459346800161,1.5830059534542154,0.004909075356044545,0
BTC/USDT,1770601140000,-0.0036924815039005706,-0.009344644856100762,-0.0026882640397574765,70525.038,70685.42333333334,0.0,0.0027924420060334468,1.588876895736268,0.006146520939292391,1
BTC/USDT,1770601560000,0.0026811292922272645,-0.005143817811934983,-0.000643579636771399,70486.55500000001,70665.61266666667,0.0,0.0028223992209455277,2.5261533754951246,0.005241700144419545,0
BTC/USDT,1770601980000,-0.0007544742324256369,-0.0017749559559262114,-0.007437997643808872,70507.144,70649.923,0.0,0.0028369439341221995,0.5290610570143706,0.002879768390676443,1
BTC/USDT,1770602400000,-0.001191613598293709,0.0007307252006218345,-0.007079000904159157,70503.02200000001,70633.80633333333,0.0,0.0028371801584676083,0.7179330395304356,0.0026448815729340704,1
BTC/USDT,1770602820000,0.0012445413480259666,-0.0007030683088160416,-0.0017236025307308402,70483.965,70618.45866666667,0.0,0.0028305152083790107,0.7650349795105138,0.0034952200776490203,1
